MI School Data,
2024-25 College Readiness Trend Ingham ISD (33): All Subjects / All Students,
Location Name,School Year,SAT Total Combined,Student Group,Student Type/Crosstab,Mean SAT Score,Mean ACT Score,Benchmark,Met or Exceeded,% Met or Exceeded,Did Not Meet,% Did Not Meet,Number Assessed,
Ingham ISD,2024-25,SAT Mathematics,All Students,All Students,459.5,N/A,530,779,26.2%,"2,190",73.8%,"2,969",
Ingham ISD,2024-25,SAT Reading and Writing (SAT)/EBRW (SAT),All Students,All Students,493.1,N/A,480,"1,636",55.1%,"1,331",44.9%,"2,967",
Ingham ISD,2024-25,SAT Total Combined,All Students,All Students,952.7,N/A,N/A,754,25.4%,"2,213",74.6%,"2,967",
Ingham ISD,2023-24,SAT Mathematics,All Students,All Students,464.3,N/A,530,761,27.6%,"1,994",72.4%,"2,755",
Ingham ISD,2023-24,SAT Reading and Writing (SAT)/EBRW (SAT),All Students,All Students,491.8,N/A,480,"1,514",55.0%,"1,241",45.0%,"2,755",
Ingham ISD,2023-24,SAT Total Combined,All Students,All Students,956.1,N/A,N/A,739,26.8%,"2,016",73.2%,"2,755",
Ingham ISD,2022-23,SAT Mathematics,All Students,All Students,474.8,N/A,530,851,31.0%,"1,892",69.0%,"2,743",
Ingham ISD,2022-23,SAT Evidence-Based Reading and Writing,All Students,All Students,493.4,N/A,480,"1,474",53.7%,"1,269",46.3%,"2,743",
Ingham ISD,2022-23,SAT Total Combined,All Students,All Students,968.2,N/A,N/A,804,29.3%,"1,939",70.7%,"2,743",
Ingham ISD,2021-22,SAT Mathematics,All Students,All Students,469.8,N/A,530,788,29.6%,"1,872",70.4%,"2,660",
Ingham ISD,2021-22,SAT Evidence-Based Reading and Writing,All Students,All Students,492.7,N/A,480,"1,400",52.6%,"1,260",47.4%,"2,660",
Ingham ISD,2021-22,SAT Total Combined,All Students,All Students,962.5,N/A,N/A,749,28.2%,"1,911",71.8%,"2,660",
Ingham ISD,2020-21,SAT Mathematics,All Students,All Students,520.2,N/A,530,750,45.1%,913,54.9%,"1,663",
Ingham ISD,2020-21,SAT Evidence-Based Reading and Writing,All Students,All Students,530.5,N/A,480,"1,122",67.5%,541,32.5%,"1,663",
Ingham ISD,2020-21,SAT Total Combined,All Students,All Students,1050.7,N/A,N/A,710,42.7%,953,57.3%,"1,663",
Ingham ISD,2018-19,SAT Mathematics,All Students,All Students,481.7,N/A,530,"1,022",33.7%,"2,010",66.3%,"3,032",
Ingham ISD,2018-19,SAT Evidence-Based Reading and Writing,All Students,All Students,494.3,N/A,480,"1,649",54.4%,"1,382",45.6%,"3,031",
Ingham ISD,2018-19,SAT Total Combined,All Students,All Students,976.1,N/A,N/A,960,31.7%,"2,071",68.3%,"3,031",
Ingham ISD,2017-18,SAT Mathematics,All Students,All Students,489.5,N/A,530,"1,036",35.4%,"1,890",64.6%,"2,926",
Ingham ISD,2017-18,SAT Evidence-Based Reading and Writing,All Students,All Students,506.2,N/A,480,"1,642",56.1%,"1,284",43.9%,"2,926",
Ingham ISD,2017-18,SAT Total Combined,All Students,All Students,995.6,N/A,N/A,992,33.9%,"1,934",66.1%,"2,926",
Ingham ISD,2016-17,SAT Mathematics,All Students,All Students,496.9,N/A,530,"1,131",36.8%,"1,941",63.2%,"3,072",
Ingham ISD,2016-17,SAT Evidence-Based Reading and Writing,All Students,All Students,512.8,N/A,480,"1,851",60.3%,"1,221",39.7%,"3,072",
Ingham ISD,2016-17,SAT Total Combined,All Students,All Students,1009.7,N/A,N/A,"1,086",35.4%,"1,986",64.6%,"3,072",
Ingham ISD,2015-16,SAT Mathematics,All Students,All Students,490.4,N/A,530,"1,086",35.1%,"2,009",64.9%,"3,095",
Ingham ISD,2015-16,SAT Evidence-Based Reading and Writing,All Students,All Students,506.6,N/A,480,"1,843",59.5%,"1,252",40.5%,"3,095",
Ingham ISD,2015-16,SAT Total Combined,All Students,All Students,997.0,N/A,N/A,"1,030",33.3%,"2,065",66.7%,"3,095",
Some percentages may not add to 100% due to rounding.,

